              DRT4 Data File V2.0
============================================================

1) Subject Information
Subject Name:  
Subject No:  
Date of Birth:  
Subject Address:  
Operator:   
Date: 12:00:43 (7/5/2025) 
DRT4 Serial Number: #3173 
Comment:  

2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 15 
Active Mark Number: 15 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2
1: 	0	10	47	Event1	PC User Marker			
2: 	0	12	19	Event2	PC User Marker			
3: 	0	15	21	Event3	PC User Marker			
4: 	0	16	59	Event4	PC User Marker			
5: 	0	19	22	Event5	PC User Marker			
6: 	0	21	44	Event6	PC User Marker			
7: 	0	23	26	Event7	PC User Marker			
8: 	0	25	15	Event8	PC User Marker			
9: 	0	26	17	Event9	PC User Marker			
10: 	0	27	44	Event10	PC User Marker			
11: 	0	27	59	Event11	PC User Marker			
12: 	0	28	52	Event12	PC User Marker			
13: 	0	29	43	Event13	PC User Marker			
14: 	0	30	31	Event14	PC User Marker			
15: 	0	30	54	Event15				


4) Trace Data
No: 	Hour 	Min 	Sec 	F1 
442	0	7	21	 80.1 
443	0	7	22	 86.9 
444	0	7	23	 86.6 
445	0	7	24	 94.2 
446	0	7	25	105.6 
447	0	7	26	101.4 
448	0	7	27	 92.1 
449	0	7	28	 88.3 
450	0	7	29	 91.0 
451	0	7	30	 86.7 
452	0	7	31	 82.6 
453	0	7	32	 75.7 
454	0	7	33	 81.5 
455	0	7	34	 76.2 
456	0	7	35	100.2 
457	0	7	36	 89.2 
458	0	7	37	 75.1 
459	0	7	38	 72.6 
460	0	7	39	 98.8 
461	0	7	40	 98.7 
462	0	7	41	109.6 
463	0	7	42	110.3 
464	0	7	43	111.2 
465	0	7	44	117.3 
466	0	7	45	102.4 
467	0	7	46	 97.6 
468	0	7	47	106.9 
469	0	7	48	 84.2 
470	0	7	49	 91.0 
471	0	7	50	 98.2 
472	0	7	51	108.2 
473	0	7	52	119.9 
474	0	7	53	126.7 
475	0	7	54	129.8 
476	0	7	55	132.7 
477	0	7	56	124.0 
478	0	7	57	106.9 
479	0	7	58	113.9 
480	0	7	59	125.8 
481	0	8	0	125.3 
482	0	8	1	125.2 
483	0	8	2	132.7 
484	0	8	3	132.0 
485	0	8	4	139.8 
486	0	8	5	139.2 
487	0	8	6	133.1 
488	0	8	7	141.2 
489	0	8	8	123.7 
490	0	8	9	115.6 
491	0	8	10	131.6 
492	0	8	11	134.6 
493	0	8	12	126.6 
494	0	8	13	141.5 
495	0	8	14	147.3 
496	0	8	15	146.4 
497	0	8	16	141.2 
498	0	8	17	132.5 
499	0	8	18	116.5 
500	0	8	19	 91.4 
501	0	8	20	 73.2 
502	0	8	21	 84.1 
503	0	8	22	 98.5 
504	0	8	23	106.3 
505	0	8	24	112.0 
506	0	8	25	120.5 
507	0	8	26	107.0 
508	0	8	27	104.4 
509	0	8	28	104.6 
510	0	8	29	 94.1 
511	0	8	30	 97.4 
512	0	8	31	107.3 
513	0	8	32	108.9 
514	0	8	33	105.4 
515	0	8	34	112.8 
516	0	8	35	109.8 
517	0	8	36	109.5 
518	0	8	37	112.8 
519	0	8	38	112.2 
520	0	8	39	119.4 
521	0	8	40	114.6 
522	0	8	41	127.4 
523	0	8	42	116.7 
524	0	8	43	107.5 
525	0	8	44	110.5 
526	0	8	45	107.9 
527	0	8	46	107.0 
528	0	8	47	115.9 
529	0	8	48	103.1 
530	0	8	49	 97.7 
531	0	8	50	 95.2 
532	0	8	51	 96.4 
533	0	8	52	110.3 
534	0	8	53	112.3 
535	0	8	54	115.4 
536	0	8	55	131.5 
537	0	8	56	132.0 
538	0	8	57	138.9 
539	0	8	58	139.0 
540	0	8	59	119.7 
541	0	9	0	120.0 
542	0	9	1	116.6 
543	0	9	2	120.2 
544	0	9	3	112.2 
545	0	9	4	114.9 
546	0	9	5	104.8 
547	0	9	6	 89.0 
548	0	9	7	 76.8 
549	0	9	8	 68.1 
550	0	9	9	 59.6 
