              DRT4 Data File V2.0
============================================================
1) Subject Information
Subject Name: 
Subject No: 
Date of Birth: 
Subject Address: 
Operator:  
Date: 11:59:31 (13/3/2026)
DRT4 Serial Number: #3173
Comment: 
2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2
4) Trace Data
No: 	Hour 	Min 	Sec 	F1 
1	0	0	0	 33.9 
2	0	0	1	 34.1 
565	0	9	24	 44.3 
566	0	9	25	 31.0 
567	0	9	26	119.1 
568	0	9	27	140.1 
569	0	9	28	 51.2 
570	0	9	29	 80.5 
571	0	9	30	 66.8 
572	0	9	31	 59.3 
573	0	9	32	 45.3 
574	0	9	33	 40.4 
575	0	9	34	 33.7 
576	0	9	35	 77.9 
577	0	9	36	 91.7 
578	0	9	37	 29.9 
579	0	9	38	 63.5 
580	0	9	39	 39.8 
581	0	9	40	 34.8 
582	0	9	41	 25.9 
583	0	9	42	 39.5 
584	0	9	43	 46.8 
585	0	9	44	 53.5 
586	0	9	45	101.3 
587	0	9	46	105.0 
588	0	9	47	118.2 
589	0	9	48	165.2 
590	0	9	49	142.4 
591	0	9	50	128.5 
592	0	9	51	170.1 
593	0	9	52	132.7 
594	0	9	53	119.0 
595	0	9	54	131.8 
596	0	9	55	116.8 
597	0	9	56	114.2 
598	0	9	57	 99.4 
599	0	9	58	 99.7 
600	0	9	59	 65.8 
601	0	10	0	 48.9 
602	0	10	1	 45.2 
603	0	10	2	 77.1 
604	0	10	3	111.6 
605	0	10	4	 54.6 
606	0	10	5	 42.6 
607	0	10	6	 98.2 
608	0	10	7	 59.7 
609	0	10	8	 62.1 
610	0	10	9	 47.4 
611	0	10	10	 36.6 
612	0	10	11	 36.0 
613	0	10	12	 26.3 
614	0	10	13	 49.6 
615	0	10	14	 32.7 
616	0	10	15	 30.2 
617	0	10	16	 60.4 
618	0	10	17	 36.3 
619	0	10	18	 21.5 
620	0	10	19	 51.5 
621	0	10	20	 53.4 
622	0	10	21	183.7 
623	0	10	22	122.4 
624	0	10	23	116.3 
625	0	10	24	160.5 
626	0	10	25	 74.2 
627	0	10	26	 64.0 
628	0	10	27	352.0 
629	0	10	28	186.2 
630	0	10	29	118.3 
631	0	10	30	164.9 
632	0	10	31	130.4 
633	0	10	32	125.5 
634	0	10	33	 65.4 
635	0	10	34	 80.7 
636	0	10	35	 38.9 
637	0	10	36	 45.0 
638	0	10	37	 31.0 
639	0	10	38	 17.4 
640	0	10	39	 17.4 
641	0	10	40	 14.4 
642	0	10	41	 22.5 
643	0	10	42	145.0 
644	0	10	43	365.6 
645	0	10	44	140.1 
646	0	10	45	 38.7 
647	0	10	46	 52.3 
648	0	10	47	 41.3 
649	0	10	48	 34.4 
650	0	10	49	 57.6 
651	0	10	50	 21.7 
652	0	10	51	 15.8 
653	0	10	52	 14.5 
654	0	10	53	 14.4 
655	0	10	54	 14.1 
656	0	10	55	 13.8 
657	0	10	56	 19.4 
658	0	10	57	 19.4 
659	0	10	58	  9.0 
660	0	10	59	143.6 
661	0	11	0	138.3 
662	0	11	1	133.7 
663	0	11	2	111.7 
664	0	11	3	 66.4 
665	0	11	4	 59.8 
666	0	11	5	 65.1 
667	0	11	6	 47.2 
668	0	11	7	 44.5 
669	0	11	8	 49.1 
670	0	11	9	 70.4 
671	0	11	10	122.9 
672	0	11	11	 91.2 
673	0	11	12	107.2 
674	0	11	13	 86.3 
675	0	11	14	 71.1 
676	0	11	15	 57.8 
677	0	11	16	 60.9 
678	0	11	17	 32.2 
679	0	11	18	 27.5 
680	0	11	19	 16.0 
681	0	11	20	 34.2 
682	0	11	21	 56.2 
683	0	11	22	179.5 
684	0	11	23	 63.1 
685	0	11	24	 49.7 
686	0	11	25	 43.3 
687	0	11	26	 53.7 
688	0	11	27	 41.4 
689	0	11	28	 32.6 
690	0	11	29	 28.2 
691	0	11	30	 32.2 
692	0	11	31	 14.5 
693	0	11	32	 10.1 
694	0	11	33	 30.4 
695	0	11	34	 63.4 
696	0	11	35	 50.8 
697	0	11	36	 24.5 
698	0	11	37	 60.0 
699	0	11	38	 75.3 
700	0	11	39	126.3 
701	0	11	40	 87.3 
702	0	11	41	 70.7 
703	0	11	42	 43.2 
704	0	11	43	 56.8 
705	0	11	44	 63.6 
706	0	11	45	 92.2 
707	0	11	46	 87.2 
708	0	11	47	 92.0 
709	0	11	48	103.5 
710	0	11	49	 89.2 
711	0	11	50	 76.3 
712	0	11	51	 65.9 
713	0	11	52	 68.1 
714	0	11	53	 51.2 
715	0	11	54	 37.3 
716	0	11	55	 28.6 
717	0	11	56	 44.6 
718	0	11	57	 46.9 
719	0	11	58	 57.3 
720	0	11	59	180.4 
721	0	12	0	 72.0 
722	0	12	1	 62.2 
723	0	12	2	 57.7 
724	0	12	3	 70.3 
725	0	12	4	 33.3 
726	0	12	5	 26.6 
727	0	12	6	 37.8 
728	0	12	7	 28.4 
729	0	12	8	 29.7 
730	0	12	9	 20.4 
731	0	12	10	 21.0 
732	0	12	11	 41.8 
