              DRT4 Data File V2.0
============================================================
1) Subject Information
Subject Name: 
Subject No: 
Date of Birth: 
Subject Address: 
Operator:  
Date: 11:11:48 (13/3/2026)
DRT4 Serial Number: #3173
Comment: 
2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2
4) Trace Data
No: 	Hour 	Min 	Sec 	F1 
1	0	0	0	110.2 
2	0	0	1	117.6 
282	0	4	41	123.5 
283	0	4	42	110.8 
284	0	4	43	137.3 
285	0	4	44	 94.9 
286	0	4	45	 74.9 
287	0	4	46	 67.5 
288	0	4	47	 68.5 
289	0	4	48	 70.0 
290	0	4	49	 74.6 
291	0	4	50	 59.9 
292	0	4	51	 64.3 
293	0	4	52	 60.8 
294	0	4	53	 57.5 
295	0	4	54	 51.6 
296	0	4	55	 50.8 
297	0	4	56	 44.2 
298	0	4	57	 41.1 
299	0	4	58	 57.3 
300	0	4	59	 73.3 
301	0	5	0	 76.3 
302	0	5	1	 95.9 
303	0	5	2	107.4 
304	0	5	3	 98.5 
305	0	5	4	104.4 
306	0	5	5	 96.3 
307	0	5	6	100.6 
308	0	5	7	102.4 
309	0	5	8	 96.0 
310	0	5	9	 75.1 
311	0	5	10	 72.9 
312	0	5	11	 79.6 
313	0	5	12	105.1 
314	0	5	13	171.4 
315	0	5	14	132.0 
316	0	5	15	100.5 
317	0	5	16	105.0 
318	0	5	17	131.8 
319	0	5	18	163.9 
320	0	5	19	179.6 
321	0	5	20	132.9 
322	0	5	21	114.7 
323	0	5	22	116.4 
324	0	5	23	120.9 
325	0	5	24	103.7 
326	0	5	25	 81.4 
327	0	5	26	 70.6 
328	0	5	27	102.2 
329	0	5	28	 98.4 
330	0	5	29	121.1 
331	0	5	30	 95.5 
332	0	5	31	 87.5 
333	0	5	32	 86.6 
334	0	5	33	 86.0 
335	0	5	34	103.2 
336	0	5	35	109.3 
337	0	5	36	134.9 
338	0	5	37	132.9 
339	0	5	38	147.8 
340	0	5	39	110.5 
341	0	5	40	 81.2 
342	0	5	41	 61.4 
343	0	5	42	 54.8 
344	0	5	43	 51.6 
345	0	5	44	 87.4 
346	0	5	45	 90.3 
347	0	5	46	 64.7 
348	0	5	47	 59.0 
349	0	5	48	 55.3 
350	0	5	49	 72.9 
351	0	5	50	 78.2 
352	0	5	51	 78.8 
353	0	5	52	 85.6 
354	0	5	53	108.8 
355	0	5	54	128.7 
356	0	5	55	185.9 
357	0	5	56	 92.0 
358	0	5	57	 87.8 
359	0	5	58	102.6 
360	0	5	59	 98.7 
361	0	6	0	101.2 
362	0	6	1	 85.0 
363	0	6	2	 63.0 
364	0	6	3	 55.2 
365	0	6	4	 55.6 
366	0	6	5	 59.1 
367	0	6	6	 51.0 
368	0	6	7	 60.5 
369	0	6	8	 73.8 
370	0	6	9	 92.6 
371	0	6	10	106.1 
372	0	6	11	112.1 
373	0	6	12	120.7 
374	0	6	13	115.1 
375	0	6	14	115.6 
376	0	6	15	121.6 
377	0	6	16	111.2 
378	0	6	17	110.5 
379	0	6	18	102.5 
380	0	6	19	106.6 
381	0	6	20	101.8 
382	0	6	21	101.0 
383	0	6	22	134.2 
384	0	6	23	153.3 
385	0	6	24	213.3 
386	0	6	25	154.2 
387	0	6	26	138.0 
388	0	6	27	151.9 
389	0	6	28	172.8 
390	0	6	29	178.6 
391	0	6	30	144.1 
392	0	6	31	136.7 
393	0	6	32	126.2 
394	0	6	33	136.3 
395	0	6	34	126.3 
396	0	6	35	 91.7 
397	0	6	36	 84.7 
398	0	6	37	 81.2 
399	0	6	38	 70.7 
400	0	6	39	 68.0 
401	0	6	40	 60.0 
402	0	6	41	 77.7 
403	0	6	42	 56.4 
404	0	6	43	 60.0 
405	0	6	44	 59.5 
406	0	6	45	 67.4 
407	0	6	46	 89.7 
408	0	6	47	129.3 
409	0	6	48	119.7 
410	0	6	49	125.2 
411	0	6	50	114.1 
412	0	6	51	137.5 
413	0	6	52	102.7 
414	0	6	53	 83.7 
415	0	6	54	 74.5 
416	0	6	55	 62.2 
417	0	6	56	 82.3 
418	0	6	57	 97.4 
419	0	6	58	216.3 
420	0	6	59	153.3 
421	0	7	0	164.5 
422	0	7	1	151.6 
423	0	7	2	136.8 
424	0	7	3	116.1 
425	0	7	4	123.4 
426	0	7	5	 96.3 
427	0	7	6	 76.1 
428	0	7	7	 65.8 
429	0	7	8	 74.1 
430	0	7	9	 63.5 
431	0	7	10	 65.3 
432	0	7	11	 61.0 
433	0	7	12	 55.6 
434	0	7	13	 57.6 
435	0	7	14	 69.6 
436	0	7	15	 46.4 
437	0	7	16	 64.5 
438	0	7	17	 89.8 
439	0	7	18	 84.1 
440	0	7	19	102.0 
441	0	7	20	114.7 
442	0	7	21	123.2 
443	0	7	22	152.4 
444	0	7	23	131.0 
445	0	7	24	124.3 
446	0	7	25	122.5 
447	0	7	26	145.1 
448	0	7	27	149.0 
449	0	7	28	140.6 
450	0	7	29	200.9 
451	0	7	30	146.8 
452	0	7	31	114.2 
453	0	7	32	107.8 
454	0	7	33	174.9 
455	0	7	34	153.0 
456	0	7	35	161.3 
457	0	7	36	131.8 
458	0	7	37	100.3 
459	0	7	38	106.1 
460	0	7	39	140.5 
461	0	7	40	101.6 
462	0	7	41	101.5 
463	0	7	42	115.3 
464	0	7	43	104.9 
465	0	7	44	 79.5 
466	0	7	45	 77.2 
467	0	7	46	 63.8 
468	0	7	47	 69.5 
469	0	7	48	 96.8 
470	0	7	49	 61.0 
471	0	7	50	 46.8 
472	0	7	51	 61.0 
473	0	7	52	 93.6 
474	0	7	53	102.6 
475	0	7	54	114.6 
476	0	7	55	115.8 
477	0	7	56	123.6 
478	0	7	57	133.1 
479	0	7	58	141.9 
480	0	7	59	105.7 
481	0	8	0	105.7 
482	0	8	1	 78.7 
483	0	8	2	 72.6 
484	0	8	3	 71.9 
485	0	8	4	 68.7 
486	0	8	5	 51.6 
487	0	8	6	 57.1 
488	0	8	7	133.7 
489	0	8	8	118.7 
490	0	8	9	 99.6 
491	0	8	10	100.6 
492	0	8	11	103.7 
493	0	8	12	116.5 
494	0	8	13	133.1 
495	0	8	14	156.7 
496	0	8	15	261.1 
497	0	8	16	270.8 
498	0	8	17	194.4 
499	0	8	18	102.5 
500	0	8	19	 59.3 
501	0	8	20	 36.1 
502	0	8	21	 60.8 
503	0	8	22	 59.1 
504	0	8	23	 40.8 
505	0	8	24	 29.8 
506	0	8	25	 32.5 
507	0	8	26	 23.5 
508	0	8	27	 45.6 
509	0	8	28	 42.5 
510	0	8	29	 48.0 
511	0	8	30	 78.2 
512	0	8	31	120.0 
513	0	8	32	114.0 
514	0	8	33	111.8 
515	0	8	34	 92.5 
516	0	8	35	 84.3 
517	0	8	36	 90.2 
518	0	8	37	 84.0 
519	0	8	38	 97.1 
520	0	8	39	 94.1 
521	0	8	40	110.5 
522	0	8	41	112.9 
523	0	8	42	121.5 
524	0	8	43	103.6 
525	0	8	44	110.3 
526	0	8	45	118.3 
527	0	8	46	141.1 
528	0	8	47	156.7 
529	0	8	48	149.5 
530	0	8	49	154.0 
531	0	8	50	147.8 
532	0	8	51	131.0 
533	0	8	52	129.7 
534	0	8	53	127.3 
535	0	8	54	123.7 
536	0	8	55	108.6 
537	0	8	56	 87.1 
538	0	8	57	 73.3 
539	0	8	58	 62.4 
540	0	8	59	 59.9 
541	0	9	0	 42.5 
542	0	9	1	 44.9 
543	0	9	2	 53.8 
544	0	9	3	 57.8 
545	0	9	4	 59.2 
546	0	9	5	 90.3 
547	0	9	6	117.6 
548	0	9	7	 97.3 
549	0	9	8	112.8 
550	0	9	9	134.8 
551	0	9	10	 94.7 
552	0	9	11	 85.8 
553	0	9	12	 82.8 
554	0	9	13	 94.7 
555	0	9	14	 91.0 
556	0	9	15	 91.6 
557	0	9	16	107.9 
558	0	9	17	109.3 
559	0	9	18	 99.8 
560	0	9	19	 84.5 
561	0	9	20	103.8 
562	0	9	21	 79.5 
563	0	9	22	 84.0 
564	0	9	23	110.0 
565	0	9	24	126.8 
566	0	9	25	120.8 
567	0	9	26	119.2 
568	0	9	27	141.9 
569	0	9	28	143.5 
570	0	9	29	123.7 
571	0	9	30	101.6 
572	0	9	31	 96.1 
573	0	9	32	 90.5 
574	0	9	33	 60.6 
575	0	9	34	 53.9 
576	0	9	35	 41.7 
577	0	9	36	 57.9 
578	0	9	37	 50.2 
579	0	9	38	 51.2 
580	0	9	39	 52.3 
581	0	9	40	 63.0 
582	0	9	41	 74.7 
583	0	9	42	 77.2 
584	0	9	43	 91.3 
585	0	9	44	 94.6 
586	0	9	45	 97.5 
587	0	9	46	114.2 
588	0	9	47	112.5 
589	0	9	48	104.3 
590	0	9	49	 83.5 
591	0	9	50	 71.9 
592	0	9	51	 83.3 
593	0	9	52	 91.4 
594	0	9	53	110.1 
595	0	9	54	 96.1 
596	0	9	55	109.1 
597	0	9	56	117.2 
598	0	9	57	120.8 
599	0	9	58	136.2 
600	0	9	59	139.4 
601	0	10	0	138.8 
602	0	10	1	142.1 
603	0	10	2	146.6 
604	0	10	3	134.6 
605	0	10	4	115.6 
606	0	10	5	109.9 
607	0	10	6	102.9 
608	0	10	7	101.3 
609	0	10	8	 85.7 
610	0	10	9	 56.8 
611	0	10	10	 59.2 
612	0	10	11	 40.9 
613	0	10	12	 34.1 
614	0	10	13	 26.9 
615	0	10	14	 43.5 
616	0	10	15	 45.2 
617	0	10	16	 39.9 
618	0	10	17	 52.7 
619	0	10	18	 65.3 
620	0	10	19	 90.5 
621	0	10	20	107.3 
622	0	10	21	114.9 
623	0	10	22	127.0 
624	0	10	23	116.5 
625	0	10	24	114.3 
626	0	10	25	 85.9 
627	0	10	26	 82.1 
628	0	10	27	 72.9 
629	0	10	28	 90.8 
630	0	10	29	 98.7 
631	0	10	30	 97.5 
632	0	10	31	 94.7 
633	0	10	32	 99.2 
634	0	10	33	107.9 
635	0	10	34	133.3 
636	0	10	35	117.6 
637	0	10	36	135.0 
638	0	10	37	119.5 
639	0	10	38	129.5 
640	0	10	39	111.8 
641	0	10	40	100.1 
642	0	10	41	 89.8 
643	0	10	42	 83.1 
644	0	10	43	 80.4 
645	0	10	44	 73.3 
646	0	10	45	 70.2 
647	0	10	46	 53.4 
648	0	10	47	 49.4 
649	0	10	48	 50.3 
650	0	10	49	 68.7 
651	0	10	50	151.0 
652	0	10	51	143.8 
653	0	10	52	140.3 
654	0	10	53	 54.3 
655	0	10	54	 65.7 
656	0	10	55	 46.6 
657	0	10	56	 36.0 
658	0	10	57	 39.2 
659	0	10	58	 30.2 
660	0	10	59	 21.3 
661	0	11	0	 22.1 
662	0	11	1	 13.2 
663	0	11	2	 33.2 
664	0	11	3	 25.5 
665	0	11	4	 31.2 
666	0	11	5	 35.5 
667	0	11	6	 30.3 
668	0	11	7	 28.7 
669	0	11	8	 21.6 
670	0	11	9	 17.3 
671	0	11	10	 23.2 
672	0	11	11	 18.9 
673	0	11	12	 15.1 
674	0	11	13	 10.5 
675	0	11	14	 11.6 
676	0	11	15	  9.9 
677	0	11	16	  6.0 
678	0	11	17	  8.9 
679	0	11	18	  5.8 
680	0	11	19	  7.1 
681	0	11	20	  6.8 
682	0	11	21	 10.4 
683	0	11	22	 20.2 
684	0	11	23	  6.2 
685	0	11	24	 13.4 
686	0	11	25	 10.2 
687	0	11	26	 14.4 
688	0	11	27	  9.2 
689	0	11	28	 12.3 
690	0	11	29	 13.3 
691	0	11	30	 28.5 
692	0	11	31	 46.6 
693	0	11	32	 33.6 
694	0	11	33	 70.1 
695	0	11	34	 32.0 
696	0	11	35	 15.7 
697	0	11	36	 29.9 
698	0	11	37	 29.3 
699	0	11	38	 26.7 
700	0	11	39	 31.2 
701	0	11	40	 32.9 
702	0	11	41	 39.8 
703	0	11	42	 30.6 
704	0	11	43	 31.4 
705	0	11	44	 31.0 
706	0	11	45	 33.3 
707	0	11	46	 24.1 
708	0	11	47	 24.6 
709	0	11	48	 19.4 
710	0	11	49	 23.0 
711	0	11	50	 30.2 
712	0	11	51	 21.4 
713	0	11	52	 26.6 
714	0	11	53	 24.3 
715	0	11	54	 28.1 
716	0	11	55	 41.5 
717	0	11	56	 45.9 
718	0	11	57	 68.0 
719	0	11	58	202.0 
720	0	11	59	191.8 
721	0	12	0	131.4 
