              DRT4 Data File V2.0
============================================================
1) Subject Information
Subject Name:  
Subject No:  
Date of Birth:  
Subject Address:  
Operator:   
Date: 16:01:16 (11/3/2026) 
DRT4 Serial Number: #3173 
Comment:  
2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2
4) Trace Data
No: 	Hour 	Min 	Sec 	F1 
1	0	0	0	140.4 
2	0	0	1	150.5 
365	0	6	4	293.8 
366	0	6	5	275.0 
367	0	6	6	240.0 
368	0	6	7	224.4 
369	0	6	8	217.9 
370	0	6	9	217.3 
371	0	6	10	231.8 
372	0	6	11	213.3 
373	0	6	12	209.6 
374	0	6	13	230.0 
375	0	6	14	222.4 
376	0	6	15	190.2 
377	0	6	16	193.3 
378	0	6	17	184.0 
379	0	6	18	210.3 
380	0	6	19	168.6 
381	0	6	20	264.8 
382	0	6	21	272.5 
383	0	6	22	216.9 
384	0	6	23	204.7 
385	0	6	24	217.2 
386	0	6	25	222.3 
387	0	6	26	191.1 
388	0	6	27	196.2 
389	0	6	28	200.7 
390	0	6	29	187.6 
391	0	6	30	194.6 
392	0	6	31	176.4 
393	0	6	32	187.9 
394	0	6	33	172.0 
395	0	6	34	187.8 
396	0	6	35	180.4 
397	0	6	36	190.9 
398	0	6	37	187.3 
399	0	6	38	185.5 
400	0	6	39	187.8 
401	0	6	40	195.1 
402	0	6	41	190.5 
403	0	6	42	190.4 
404	0	6	43	193.2 
405	0	6	44	194.5 
406	0	6	45	195.2 
407	0	6	46	189.7 
408	0	6	47	195.6 
409	0	6	48	181.4 
410	0	6	49	177.3 
411	0	6	50	161.0 
412	0	6	51	171.1 
413	0	6	52	164.8 
414	0	6	53	179.4 
415	0	6	54	162.4 
416	0	6	55	 91.8 
417	0	6	56	 42.0 
418	0	6	57	 34.7 
419	0	6	58	 38.4 
420	0	6	59	 43.2 
421	0	7	0	 47.7 
422	0	7	1	 57.8 
423	0	7	2	 64.8 
424	0	7	3	 77.1 
425	0	7	4	 76.8 
426	0	7	5	 88.0 
427	0	7	6	104.5 
428	0	7	7	105.8 
429	0	7	8	108.0 
