              DRT4 Data File V2.0
============================================================
1) Subject Information
Subject Name: 
Subject No: 
Date of Birth: 
Subject Address: 
Operator:  
Date: 11:24:36 (29/9/2025)
DRT4 Serial Number: #3173
Comment: 
2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2
4) Trace Data
No: 	Hour 	Min 	Sec 	F1 	F2 
1	0	0	0	 19.6	  0.0 
2	0	0	1	 15.8	  0.0 
203	0	3	22	 91.3	  0.0 
204	0	3	23	 68.0	  0.0 
205	0	3	24	 85.9	  0.0 
206	0	3	25	180.6	  0.0 
207	0	3	26	115.1	  0.0 
208	0	3	27	114.3	  0.0 
209	0	3	28	 48.3	  0.0 
210	0	3	29	 57.1	  0.0 
211	0	3	30	 82.3	  0.0 
212	0	3	31	 84.3	  0.0 
213	0	3	32	 91.6	  0.0 
214	0	3	33	101.0	  0.0 
215	0	3	34	 58.0	  0.0 
216	0	3	35	 59.3	  0.0 
217	0	3	36	 93.2	  0.0 
218	0	3	37	 92.6	  0.0 
219	0	3	38	107.6	  0.0 
220	0	3	39	 87.2	  0.0 
221	0	3	40	 53.3	  0.0 
222	0	3	41	 60.4	  0.0 
223	0	3	42	 65.0	  0.0 
224	0	3	43	 83.3	  0.0 
225	0	3	44	111.3	  0.0 
226	0	3	45	 71.6	  0.0 
227	0	3	46	 52.1	  0.0 
228	0	3	47	 55.6	  0.0 
229	0	3	48	 98.8	  0.0 
230	0	3	49	146.9	  0.0 
231	0	3	50	169.1	  0.0 
232	0	3	51	 87.1	  0.0 
233	0	3	52	 63.8	  0.0 
234	0	3	53	 45.4	  0.0 
235	0	3	54	 69.0	  0.0 
236	0	3	55	102.8	  0.0 
237	0	3	56	108.7	  0.0 
238	0	3	57	 96.0	  0.0 
239	0	3	58	 60.9	  0.0 
240	0	3	59	 70.6	  0.0 
241	0	4	0	107.5	  0.0 
242	0	4	1	110.0	  0.0 
243	0	4	2	 91.4	  0.0 
244	0	4	3	114.3	  0.0 
245	0	4	4	 63.3	  0.0 
246	0	4	5	 41.0	  0.0 
247	0	4	6	120.4	  0.0 
248	0	4	7	 84.1	  0.0 
249	0	4	8	 85.1	  0.0 
250	0	4	9	126.2	  0.0 
251	0	4	10	100.0	  0.0 
252	0	4	11	 86.8	  0.0 
253	0	4	12	 90.2	  0.0 
254	0	4	13	158.7	  0.0 
255	0	4	14	118.8	  0.0 
256	0	4	15	126.3	  0.0 
257	0	4	16	 99.1	  0.0 
258	0	4	17	 72.8	  0.0 
259	0	4	18	 89.2	  0.0 
260	0	4	19	 71.7	  0.0 
