              DRT4 Data File V2.0
============================================================
1) Subject Information
Subject Name:  
Subject No:  
Date of Birth:  
Subject Address:  
Operator:   
Date: 13:35:32 (12/3/2026) 
DRT4 Serial Number: #3173 
Comment:  
2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2
4) Trace Data
No: 	Hour 	Min 	Sec 	F1 
1	0	0	0	 85.7 
2	0	0	1	 87.6 
342	0	5	41	 67.1 
343	0	5	42	 64.9 
344	0	5	43	 68.9 
345	0	5	44	119.8 
346	0	5	45	 84.2 
347	0	5	46	 68.6 
348	0	5	47	 63.7 
349	0	5	48	105.4 
350	0	5	49	111.8 
351	0	5	50	106.6 
352	0	5	51	111.1 
353	0	5	52	117.7 
354	0	5	53	132.4 
355	0	5	54	144.5 
356	0	5	55	158.9 
357	0	5	56	188.8 
358	0	5	57	248.3 
359	0	5	58	179.2 
360	0	5	59	178.2 
361	0	6	0	207.1 
362	0	6	1	223.1 
363	0	6	2	232.4 
364	0	6	3	248.3 
365	0	6	4	238.9 
366	0	6	5	212.4 
367	0	6	6	199.1 
368	0	6	7	178.2 
369	0	6	8	180.0 
370	0	6	9	138.8 
371	0	6	10	 77.0 
372	0	6	11	 62.7 
373	0	6	12	199.1 
374	0	6	13	236.0 
375	0	6	14	184.8 
376	0	6	15	224.7 
377	0	6	16	256.2 
378	0	6	17	220.9 
379	0	6	18	217.8 
380	0	6	19	197.3 
381	0	6	20	167.2 
382	0	6	21	134.8 
383	0	6	22	145.6 
384	0	6	23	111.7 
385	0	6	24	150.6 
386	0	6	25	180.5 
387	0	6	26	 85.3 
388	0	6	27	 83.6 
389	0	6	28	161.0 
390	0	6	29	189.3 
391	0	6	30	125.7 
392	0	6	31	141.0 
393	0	6	32	174.1 
394	0	6	33	219.4 
395	0	6	34	282.4 
396	0	6	35	388.2 
397	0	6	36	111.9 
398	0	6	37	101.3 
399	0	6	38	154.1 
400	0	6	39	215.3 
401	0	6	40	175.7 
402	0	6	41	108.2 
403	0	6	42	118.3 
404	0	6	43	112.4 
405	0	6	44	154.1 
406	0	6	45	131.9 
407	0	6	46	135.9 
408	0	6	47	 80.6 
409	0	6	48	 80.8 
410	0	6	49	209.4 
411	0	6	50	103.7 
412	0	6	51	 68.5 
413	0	6	52	 74.1 
414	0	6	53	 83.3 
415	0	6	54	153.8 
416	0	6	55	262.0 
417	0	6	56	225.6 
418	0	6	57	226.9 
419	0	6	58	230.7 
420	0	6	59	221.9 
421	0	7	0	211.1 
422	0	7	1	198.6 
423	0	7	2	211.3 
424	0	7	3	223.0 
425	0	7	4	202.4 
426	0	7	5	213.2 
427	0	7	6	176.9 
428	0	7	7	171.4 
429	0	7	8	169.0 
430	0	7	9	244.0 
431	0	7	10	256.6 
432	0	7	11	293.8 
433	0	7	12	235.8 
434	0	7	13	397.1 
435	0	7	14	338.1 
436	0	7	15	201.0 
437	0	7	16	255.6 
438	0	7	17	228.5 
439	0	7	18	181.8 
440	0	7	19	159.8 
441	0	7	20	199.7 
442	0	7	21	279.1 
443	0	7	22	279.1 
444	0	7	23	203.4 
445	0	7	24	176.3 
446	0	7	25	208.6 
447	0	7	26	204.5 
448	0	7	27	133.2 
449	0	7	28	125.8 
450	0	7	29	178.0 
451	0	7	30	221.0 
452	0	7	31	197.2 
453	0	7	32	213.2 
454	0	7	33	204.3 
455	0	7	34	170.5 
456	0	7	35	150.1 
457	0	7	36	128.6 
458	0	7	37	128.2 
459	0	7	38	172.6 
460	0	7	39	234.7 
461	0	7	40	226.1 
462	0	7	41	252.1 
463	0	7	42	146.5 
464	0	7	43	190.6 
