              DRT4 Data File V2.0
============================================================

1) Subject Information
Subject Name: 
Subject No: 
Date of Birth: 
Subject Address: 
Operator:  
Date: 17:01:33 (8/10/2025)
DRT4 Serial Number: #3173
Comment: 

2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2



4) Trace Data
No: 	Hour 	Min 	Sec 	F1 	F2 
499	0	8	18	 57.7	  0.0 
500	0	8	19	 63.2	  0.0 
501	0	8	20	 62.2	  0.0 
502	0	8	21	 58.2	  0.0 
503	0	8	22	 43.5	  0.0 
504	0	8	23	 49.5	  0.0 
505	0	8	24	 60.5	  0.0 
506	0	8	25	 91.8	  0.0 
507	0	8	26	101.8	  0.0 
508	0	8	27	110.1	  0.0 
509	0	8	28	 94.9	  0.0 
510	0	8	29	 51.4	  0.0 
511	0	8	30	 34.4	  0.0 
512	0	8	31	 34.5	  0.0 
513	0	8	32	 47.2	  0.0 
514	0	8	33	 62.4	  0.0 
515	0	8	34	 74.7	  0.0 
516	0	8	35	 69.3	  0.0 
517	0	8	36	 39.0	  0.0 
518	0	8	37	 67.1	  0.0 
519	0	8	38	 75.8	  0.0 
520	0	8	39	 86.5	  0.0 
521	0	8	40	 91.9	  0.0 
522	0	8	41	 61.7	  0.0 
523	0	8	42	 31.2	  0.0 
524	0	8	43	 31.6	  0.0 
525	0	8	44	 25.7	  0.0 
526	0	8	45	 32.9	  0.0 
527	0	8	46	 47.0	  0.0 
528	0	8	47	 55.3	  0.0 
529	0	8	48	 50.2	  0.0 
530	0	8	49	 59.4	  0.0 
531	0	8	50	 77.9	  0.0 
532	0	8	51	 96.2	  0.0 
533	0	8	52	 95.3	  0.0 
534	0	8	53	 47.9	  0.0 
535	0	8	54	 26.8	  0.0 
536	0	8	55	 47.3	  0.0 
537	0	8	56	 43.3	  0.0 
538	0	8	57	 37.4	  0.0 
539	0	8	58	 30.4	  0.0 
540	0	8	59	 22.2	  0.0 
541	0	9	0	 43.9	  0.0 
542	0	9	1	 57.7	  0.0 
543	0	9	2	 88.3	  0.0 
544	0	9	3	110.8	  0.0 
545	0	9	4	104.4	  0.0 
546	0	9	5	 32.9	  0.0 
547	0	9	6	 25.5	  0.0 
548	0	9	7	 30.8	  0.0 
549	0	9	8	 27.5	  0.0 
550	0	9	9	 24.0	  0.0 
551	0	9	10	 41.1	  0.0 
552	0	9	11	 42.2	  0.0 
553	0	9	12	 59.3	  0.0 
554	0	9	13	110.7	  0.0 
555	0	9	14	 91.3	  0.0 
556	0	9	15	 96.5	  0.0 
557	0	9	16	 61.6	  0.0 
558	0	9	17	 39.6	  0.0 
559	0	9	18	 30.3	  0.0 
560	0	9	19	 15.8	  0.0 
561	0	9	20	 17.1	  0.0 
562	0	9	21	 38.9	  0.0 
563	0	9	22	 64.5	  0.0 
564	0	9	23	 54.8	  0.0 
565	0	9	24	 51.5	  0.0 
566	0	9	25	 69.4	  0.0 
567	0	9	26	112.3	  0.0 
568	0	9	27	112.6	  0.0 
569	0	9	28	127.5	  0.0 
570	0	9	29	 63.6	  0.0 
571	0	9	30	 36.4	  0.0 
572	0	9	31	 35.5	  0.0 
573	0	9	32	 38.5	  0.0 
574	0	9	33	 25.0	  0.0 
575	0	9	34	 37.2	  0.0 
576	0	9	35	 47.2	  0.0 
577	0	9	36	 50.8	  0.0 
578	0	9	37	 58.6	  0.0 
579	0	9	38	 68.6	  0.0 
580	0	9	39	 79.8	  0.0 
581	0	9	40	103.0	  0.0 
582	0	9	41	 27.8	  0.0 
583	0	9	42	 29.8	  0.0 
584	0	9	43	 32.0	  0.0 
585	0	9	44	 30.9	  0.0 
586	0	9	45	 62.1	  0.0 
587	0	9	46	 88.1	  0.0 
588	0	9	47	 92.2	  0.0 
589	0	9	48	109.5	  0.0 
590	0	9	49	130.9	  0.0 
591	0	9	50	200.2	  0.0 
592	0	9	51	126.7	  0.0 
593	0	9	52	 75.5	  0.0 
594	0	9	53	 72.6	  0.0 
595	0	9	54	 65.3	  0.0 
596	0	9	55	 52.9	  0.0 
597	0	9	56	 62.4	  0.0 
598	0	9	57	 67.5	  0.0 
599	0	9	58	 94.3	  0.0 
600	0	9	59	 88.9	  0.0 
601	0	10	0	127.9	  0.0 
602	0	10	1	150.3	  0.0 
603	0	10	2	179.2	  0.0 
604	0	10	3	112.9	  0.0 
605	0	10	4	 79.9	  0.0 
606	0	10	5	 78.6	  0.0 
607	0	10	6	 59.6	  0.0 
608	0	10	7	 76.5	  0.0 
609	0	10	8	133.0	  0.0 
610	0	10	9	101.0	  0.0 
611	0	10	10	140.5	  0.0 
612	0	10	11	123.2	  0.0 
613	0	10	12	152.2	  0.0 
614	0	10	13	189.8	  0.0 
615	0	10	14	276.1	  0.0 
616	0	10	15	137.4	  0.0 
617	0	10	16	 60.9	  0.0 
618	0	10	17	 61.9	  0.0 
619	0	10	18	 45.0	  0.0 
620	0	10	19	 44.4	  0.0 
621	0	10	20	 49.9	  0.0 
622	0	10	21	 92.8	  0.0 
623	0	10	22	112.6	  0.0 
624	0	10	23	133.2	  0.0 
625	0	10	24	108.7	  0.0 
626	0	10	25	147.0	  0.0 
627	0	10	26	193.0	  0.0 
628	0	10	27	133.8	  0.0 
629	0	10	28	 80.4	  0.0 
630	0	10	29	 82.2	  0.0 
631	0	10	30	 83.8	  0.0 
632	0	10	31	 61.4	  0.0 
633	0	10	32	 36.2	  0.0 
634	0	10	33	 68.6	  0.0 
635	0	10	34	 73.7	  0.0 
636	0	10	35	 71.2	  0.0 
637	0	10	36	 76.2	  0.0 
638	0	10	37	113.2	  0.0 
639	0	10	38	140.8	  0.0 
640	0	10	39	159.1	  0.0 
641	0	10	40	116.7	  0.0 
642	0	10	41	107.6	  0.0 
643	0	10	42	 54.9	  0.0 
644	0	10	43	 69.1	  0.0 
645	0	10	44	 38.8	  0.0 
646	0	10	45	 18.7	  0.0 
647	0	10	46	 28.4	  0.0 
648	0	10	47	 32.3	  0.0 
649	0	10	48	 27.4	  0.0 
650	0	10	49	 16.0	  0.0 
651	0	10	50	 20.9	  0.0 
652	0	10	51	 19.8	  0.0 
653	0	10	52	 19.7	  0.0 
654	0	10	53	 17.6	  0.0 
655	0	10	54	 24.2	  0.0 
656	0	10	55	 11.9	  0.0 
657	0	10	56	 10.6	  0.0 
658	0	10	57	 10.7	  0.0 
659	0	10	58	 11.4	  0.0 
660	0	10	59	 11.6	  0.0 
661	0	11	0	 12.1	  0.0 
662	0	11	1	  7.0	  0.0 
663	0	11	2	  8.1	  0.0 
664	0	11	3	 12.9	  0.0 
665	0	11	4	 14.8	  0.0 
666	0	11	5	  9.4	  0.0 
667	0	11	6	  9.8	  0.0 
668	0	11	7	 14.2	  0.0 
669	0	11	8	 15.4	  0.0 
670	0	11	9	 16.8	  0.0 
671	0	11	10	  8.0	  0.0 
672	0	11	11	  8.2	  0.0 
673	0	11	12	  7.6	  0.0 
674	0	11	13	 11.4	  0.0 
675	0	11	14	  8.3	  0.0 
676	0	11	15	  9.5	  0.0 
677	0	11	16	 22.8	  0.0 
678	0	11	17	 45.8	  0.0 
679	0	11	18	 39.7	  0.0 
680	0	11	19	 36.8	  0.0 
681	0	11	20	 30.5	  0.0 
682	0	11	21	 21.1	  0.0 
683	0	11	22	 23.8	  0.0 
684	0	11	23	 12.4	  0.0 
685	0	11	24	 16.3	  0.0 
686	0	11	25	 11.4	  0.0 
687	0	11	26	 12.4	  0.0 
688	0	11	27	 23.8	  0.0 
689	0	11	28	 15.8	  0.0 
690	0	11	29	 23.3	  0.0 
691	0	11	30	 15.8	  0.0 
692	0	11	31	 19.9	  0.0 
