              DRT4 Data File V2.0
============================================================

1) Subject Information
Subject Name: 
Subject No: 
Date of Birth: 
Subject Address: 
Operator:  
Date: 17:34:16 (8/10/2025)
DRT4 Serial Number: #3173
Comment: 

2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2



4) Trace Data
No: 	Hour 	Min 	Sec 	F1 	F2 
594	0	9	53	 33.9	  0.0 
595	0	9	54	 39.2	  0.0 
596	0	9	55	 33.6	  0.0 
597	0	9	56	 34.9	  0.0 
598	0	9	57	 26.9	  0.0 
599	0	9	58	 31.2	  0.0 
600	0	9	59	 37.9	  0.0 
601	0	10	0	 38.9	  0.0 
602	0	10	1	 35.8	  0.0 
603	0	10	2	 32.4	  0.0 
604	0	10	3	 34.3	  0.0 
605	0	10	4	 29.1	  0.0 
606	0	10	5	 38.0	  0.0 
607	0	10	6	 42.6	  0.0 
608	0	10	7	 50.2	  0.0 
609	0	10	8	 48.0	  0.0 
610	0	10	9	 40.4	  0.0 
611	0	10	10	 39.8	  0.0 
612	0	10	11	 37.1	  0.0 
613	0	10	12	 30.3	  0.0 
614	0	10	13	 32.3	  0.0 
615	0	10	14	 35.7	  0.0 
616	0	10	15	 44.8	  0.0 
617	0	10	16	 40.9	  0.0 
618	0	10	17	 31.4	  0.0 
619	0	10	18	 35.2	  0.0 
620	0	10	19	 41.1	  0.0 
621	0	10	20	 40.8	  0.0 
622	0	10	21	 37.1	  0.0 
623	0	10	22	 40.1	  0.0 
624	0	10	23	 39.2	  0.0 
625	0	10	24	 38.8	  0.0 
626	0	10	25	 34.6	  0.0 
627	0	10	26	 42.0	  0.0 
628	0	10	27	 36.8	  0.0 
629	0	10	28	 40.5	  0.0 
630	0	10	29	 39.7	  0.0 
631	0	10	30	 36.2	  0.0 
