              DRT4 Data File V2.0
============================================================

1) Subject Information
Subject Name: 
Subject No: 
Date of Birth: 
Subject Address: 
Operator:  
Date: 16:21:02 (8/10/2025)
DRT4 Serial Number: #3173
Comment: 

2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2



4) Trace Data
No: 	Hour 	Min 	Sec 	F1 	F2 
320	0	5	19	 20.7	  0.0 
321	0	5	20	 32.3	  0.0 
322	0	5	21	 19.1	  0.0 
323	0	5	22	 14.7	  0.0 
324	0	5	23	 15.2	  0.0 
325	0	5	24	 13.6	  0.0 
326	0	5	25	 22.4	  0.0 
327	0	5	26	 16.2	  0.0 
328	0	5	27	 73.4	  0.0 
329	0	5	28	 32.9	  0.0 
330	0	5	29	 48.6	  0.0 
331	0	5	30	 30.8	  0.0 
332	0	5	31	 32.1	  0.0 
333	0	5	32	 32.2	  0.0 
334	0	5	33	 27.4	  0.0 
335	0	5	34	 29.6	  0.0 
336	0	5	35	 13.2	  0.0 
337	0	5	36	 17.4	  0.0 
338	0	5	37	 22.8	  0.0 
339	0	5	38	 21.1	  0.0 
340	0	5	39	 22.1	  0.0 
341	0	5	40	 15.5	  0.0 
342	0	5	41	 20.0	  0.0 
343	0	5	42	 19.0	  0.0 
344	0	5	43	 26.5	  0.0 
345	0	5	44	 26.5	  0.0 
346	0	5	45	 53.7	  0.0 
347	0	5	46	 50.3	  0.0 
348	0	5	47	 21.9	  0.0 
349	0	5	48	 11.0	  0.0 
350	0	5	49	 21.5	  0.0 
351	0	5	50	 15.5	  0.0 
352	0	5	51	  8.2	  0.0 
353	0	5	52	 33.0	  0.0 
354	0	5	53	 42.8	  0.0 
355	0	5	54	 34.3	  0.0 
356	0	5	55	 53.5	  0.0 
357	0	5	56	 55.4	  0.0 
358	0	5	57	 51.4	  0.0 
359	0	5	58	 42.2	  0.0 
360	0	5	59	 18.9	  0.0 
361	0	6	0	 14.2	  0.0 
362	0	6	1	 11.4	  0.0 
363	0	6	2	 12.4	  0.0 
364	0	6	3	 15.1	  0.0 
365	0	6	4	 17.2	  0.0 
366	0	6	5	 28.1	  0.0 
367	0	6	6	 24.5	  0.0 
368	0	6	7	 15.3	  0.0 
369	0	6	8	 14.5	  0.0 
370	0	6	9	 16.2	  0.0 
371	0	6	10	 14.5	  0.0 
372	0	6	11	  5.2	  0.0 
373	0	6	12	  8.0	  0.0 
374	0	6	13	 22.1	  0.0 
375	0	6	14	 10.9	  0.0 
376	0	6	15	  9.9	  0.0 
377	0	6	16	 21.9	  0.0 
378	0	6	17	  7.3	  0.0 
379	0	6	18	  3.7	  0.0 
380	0	6	19	  4.4	  0.0 
